day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-11-07,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,24.0,38.0,0.6486486486486487,0,0.0,1005.0,0.0238805970149253,0.0378109452736318,,,,,,,15,2
2025-11-08,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,16.0,21.0,0.8181818181818182,1,0.25,1005.0,0.0159203980099502,0.0208955223880597,,,,,,,15,2
2025-11-09,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,19.0,26.0,0.7777777777777778,1,0.0,1005.0,0.0189054726368159,0.0258706467661691,,,,,,,15,2
2025-11-10,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,20.0,28.0,0.7931034482758621,0,0.5,422.0,0.0473933649289099,0.0663507109004739,,,,,,,15,2
2025-11-11,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,11.0,14.0,0.7692307692307693,0,1.0,422.0,0.0260663507109004,0.0331753554502369,,,,,,,15,2
2025-11-12,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,5.0,10.0,0.7,0,1.0,422.0,0.0118483412322274,0.0236966824644549,,,,,,,15,2
2025-11-13,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,18.0,31.0,0.7096774193548387,0,1.0,422.0,0.0426540284360189,0.0734597156398104,,,,,,,15,2
2025-11-14,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,11.0,22.0,0.6086956521739131,0,0.75,422.0,0.0260663507109004,0.0521327014218009,,,,,,,15,2
2025-11-15,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,9.0,14.0,0.6923076923076923,1,0.25,422.0,0.0213270142180094,0.0331753554502369,,,,,,,15,2
2025-11-16,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,9.0,12.0,0.8333333333333334,1,0.625,422.0,0.0213270142180094,0.0284360189573459,,,,,,,15,2
2025-11-17,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,21.0,33.0,0.6388888888888888,0,0.75,841.0,0.0249702734839476,0.0392390011890606,0.0159203980099502,0.0228855721393034,0.8333333333333334,,,,15,2
2025-11-18,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,20.0,38.0,0.6388888888888888,0,0.25,841.0,0.0237812128418549,0.0451843043995243,0.0228855721393034,0.0278606965174129,0.925925925925926,,,,15,2
2025-11-19,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,25.0,38.0,0.7105263157894737,0,0.0,841.0,0.0297265160523186,0.0451843043995243,0.026865671641791,0.0398009950248756,0.75,,,,15,2
2025-11-20,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,18.0,30.0,0.6785714285714286,0,0.25,841.0,0.0214030915576694,0.0356718192627824,0.0189054726368159,0.0258706467661691,0.7692307692307693,,,,15,2
2025-11-21,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,25.0,36.0,0.8378378378378378,0,0.375,841.0,0.0297265160523186,0.0428061831153388,0.0238805970149253,0.0378109452736318,0.6486486486486487,,,,15,2
2025-11-22,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,25.0,35.0,0.8055555555555556,1,0.125,841.0,0.0297265160523186,0.0416171224732461,0.0159203980099502,0.0208955223880597,0.8181818181818182,,,,15,2
2025-11-23,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,21.0,35.0,0.65625,1,0.25,841.0,0.0249702734839476,0.0416171224732461,0.0189054726368159,0.0258706467661691,0.7777777777777778,,,,15,2
2025-11-24,15x2元1張,隨機組,14天在其他尖峰預估車資,北區,21.0,24.0,0.9565217391304348,0,0.375,794.0,0.026448362720403,0.0302267002518891,0.0473933649289099,0.0663507109004739,0.7931034482758621,0.0159203980099502,0.0228855721393034,0.8333333333333334,15,2
